tripduration,start_station_id,start_station_name,end_station_id,end_station_name
2688,1,18 Dorrance Warehouse,1,18 Dorrance Warehouse
12468,3,Colleges of the Fenway - Fenway at Avenue Louis Pasteur,52,Newbury St at Hereford St
9238,3,Colleges of the Fenway - Fenway at Avenue Louis Pasteur,58,Beacon St at Arlington St
6508,3,Colleges of the Fenway - Fenway at Avenue Louis Pasteur,163,The Lawn on D
5779,3,Colleges of the Fenway - Fenway at Avenue Louis Pasteur,3,Colleges of the Fenway - Fenway at Avenue Louis Pasteur
5026,3,Colleges of the Fenway - Fenway at Avenue Louis Pasteur,3,Colleges of the Fenway - Fenway at Avenue Louis Pasteur
4983,3,Colleges of the Fenway - Fenway at Avenue Louis Pasteur,3,Colleges of the Fenway - Fenway at Avenue Louis Pasteur
4323,3,Colleges of the Fenway - Fenway at Avenue Louis Pasteur,194,Broadway St at Mt Pleasant St
4071,3,Colleges of the Fenway - Fenway at Avenue Louis Pasteur,49,Stuart St at Charles St
3682,3,Colleges of the Fenway - Fenway at Avenue Louis Pasteur,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St
3457,3,Colleges of the Fenway - Fenway at Avenue Louis Pasteur,149,175 N Harvard St
3088,3,Colleges of the Fenway - Fenway at Avenue Louis Pasteur,69,Coolidge Corner - Beacon St @ Centre St
2840,3,Colleges of the Fenway - Fenway at Avenue Louis Pasteur,60,Charles Circle - Charles St at Cambridge St
2830,3,Colleges of the Fenway - Fenway at Avenue Louis Pasteur,60,Charles Circle - Charles St at Cambridge St
2816,3,Colleges of the Fenway - Fenway at Avenue Louis Pasteur,69,Coolidge Corner - Beacon St @ Centre St
2693,3,Colleges of the Fenway - Fenway at Avenue Louis Pasteur,120,Charles st and Beacon St
2489,3,Colleges of the Fenway - Fenway at Avenue Louis Pasteur,49,Stuart St at Charles St
2457,3,Colleges of the Fenway - Fenway at Avenue Louis Pasteur,49,Stuart St at Charles St
2456,3,Colleges of the Fenway - Fenway at Avenue Louis Pasteur,5,Northeastern University - North Parking Lot
2438,3,Colleges of the Fenway - Fenway at Avenue Louis Pasteur,44,Congress St at North St
2428,3,Colleges of the Fenway - Fenway at Avenue Louis Pasteur,120,Charles st and Beacon St
2419,3,Colleges of the Fenway - Fenway at Avenue Louis Pasteur,120,Charles st and Beacon St
2405,3,Colleges of the Fenway - Fenway at Avenue Louis Pasteur,47,Cross St at Hanover St
2329,3,Colleges of the Fenway - Fenway at Avenue Louis Pasteur,5,Northeastern University - North Parking Lot
2312,3,Colleges of the Fenway - Fenway at Avenue Louis Pasteur,49,Stuart St at Charles St
2215,3,Colleges of the Fenway - Fenway at Avenue Louis Pasteur,36,Copley Square - Dartmouth St at Boylston St
2205,3,Colleges of the Fenway - Fenway at Avenue Louis Pasteur,36,Copley Square - Dartmouth St at Boylston St
2157,3,Colleges of the Fenway - Fenway at Avenue Louis Pasteur,61,Boylston St at Fairfield St
2069,3,Colleges of the Fenway - Fenway at Avenue Louis Pasteur,97,Harvard University River Houses at DeWolfe St / Cowperthwaite St
2052,3,Colleges of the Fenway - Fenway at Avenue Louis Pasteur,77,Somerville City Hall
1995,3,Colleges of the Fenway - Fenway at Avenue Louis Pasteur,50,Boylston St at Berkeley St
1983,3,Colleges of the Fenway - Fenway at Avenue Louis Pasteur,50,Boylston St at Berkeley St
1975,3,Colleges of the Fenway - Fenway at Avenue Louis Pasteur,74,Harvard Square at Mass Ave/ Dunster
1965,3,Colleges of the Fenway - Fenway at Avenue Louis Pasteur,176,Lesley University
1950,3,Colleges of the Fenway - Fenway at Avenue Louis Pasteur,46,Christian Science Plaza - Massachusetts Ave at Westland Ave
1941,3,Colleges of the Fenway - Fenway at Avenue Louis Pasteur,194,Broadway St at Mt Pleasant St
1932,3,Colleges of the Fenway - Fenway at Avenue Louis Pasteur,74,Harvard Square at Mass Ave/ Dunster
1854,3,Colleges of the Fenway - Fenway at Avenue Louis Pasteur,96,Cambridge Main Library at Broadway / Trowbridge St
1834,3,Colleges of the Fenway - Fenway at Avenue Louis Pasteur,57,Columbus Ave at Massachusetts Ave
1806,3,Colleges of the Fenway - Fenway at Avenue Louis Pasteur,61,Boylston St at Fairfield St
1804,3,Colleges of the Fenway - Fenway at Avenue Louis Pasteur,61,Boylston St at Fairfield St
863850,4,Tremont St at E Berkeley St,6,Cambridge St at Joy St
92783,4,Tremont St at E Berkeley St,4,Tremont St at E Berkeley St
65728,4,Tremont St at E Berkeley St,52,Newbury St at Hereford St
15248,4,Tremont St at E Berkeley St,74,Harvard Square at Mass Ave/ Dunster
5468,4,Tremont St at E Berkeley St,125,Hyde Square - Barbara St at Centre St
5452,4,Tremont St at E Berkeley St,125,Hyde Square - Barbara St at Centre St
4758,4,Tremont St at E Berkeley St,16,Back Bay T Stop - Dartmouth St at Stuart St
4160,4,Tremont St at E Berkeley St,4,Tremont St at E Berkeley St
4153,4,Tremont St at E Berkeley St,4,Tremont St at E Berkeley St
4131,4,Tremont St at E Berkeley St,47,Cross St at Hanover St
3979,4,Tremont St at E Berkeley St,73,Harvard Square at Brattle St / Eliot St
3932,4,Tremont St at E Berkeley St,73,Harvard Square at Brattle St / Eliot St
3856,4,Tremont St at E Berkeley St,4,Tremont St at E Berkeley St
3839,4,Tremont St at E Berkeley St,4,Tremont St at E Berkeley St
3697,4,Tremont St at E Berkeley St,4,Tremont St at E Berkeley St
