duration in seconds,source,target,weight
100558,74,22,27.47486339
81100,74,387,22.15846995
65582,74,139,17.91857923
57866,74,103,15.81038251
53491,74,227,14.61502732
41440,74,334,11.32240437
24487,74,90,6.690437158
21091,74,99,5.762568306
20357,74,55,5.562021858
17569,74,74,4.800273224
13475,74,74,3.681693989
13423,74,74,3.667486339
13143,74,327,3.590983607
12371,74,380,3.380054645
11734,74,41,3.206010929
11084,74,74,3.028415301
11040,74,74,3.016393443
11008,74,74,3.007650273
10922,74,15,2.984153005
10872,74,15,2.970491803
9609,74,105,2.625409836
9574,74,105,2.615846995
9430,74,89,2.576502732
9394,74,221,2.566666667
9370,74,221,2.56010929
9210,74,74,2.516393443
8305,74,374,2.269125683
7987,74,20,2.182240437
7965,74,97,2.176229508
7946,74,20,2.171038251
7886,74,149,2.154644809
7800,74,58,2.131147541
7799,74,58,2.130874317
7782,74,73,2.126229508
7780,74,73,2.12568306
7413,74,115,2.025409836
7311,74,380,1.997540984
7207,74,74,1.969125683
7203,74,73,1.968032787
7182,74,23,1.962295082
7167,74,23,1.958196721
7089,74,78,1.936885246
7089,74,78,1.936885246
6988,74,37,1.909289617
6984,74,84,1.908196721
6973,74,73,1.905191257
6936,74,97,1.895081967
6917,74,191,1.88989071
6851,74,17,1.871857923
6791,74,67,1.855464481
6766,74,183,1.84863388
6744,74,67,1.842622951
6732,74,9,1.839344262
6724,74,157,1.83715847
6625,74,157,1.81010929
6624,74,74,1.809836066
6575,74,49,1.796448087
6570,74,97,1.795081967
6562,74,60,1.792896175
6536,74,60,1.78579235
6476,74,208,1.769398907
6475,74,190,1.769125683
6462,74,10,1.76557377
6366,74,35,1.739344262
6365,74,35,1.739071038
6310,74,35,1.724043716
6261,74,163,1.710655738
6253,74,95,1.708469945
6093,74,74,1.664754098
6056,74,113,1.654644809
6033,74,141,1.648360656
5998,74,113,1.638797814
5925,74,74,1.618852459
5906,74,115,1.613661202
5901,74,74,1.612295082
5897,74,149,1.611202186
5885,74,180,1.607923497
5838,74,193,1.595081967
5824,74,334,1.591256831
5819,74,58,1.58989071
5815,74,369,1.588797814
5807,74,55,1.586612022
5793,74,149,1.582786885
5785,74,208,1.580601093
5741,74,208,1.568579235
5733,74,104,1.566393443
5685,74,387,1.553278689
5679,74,54,1.551639344
5651,74,108,1.543989071
5617,74,58,1.534699454
5577,74,213,1.523770492
5575,74,227,1.523224044
5567,74,58,1.521038251
5560,74,227,1.519125683
5552,74,227,1.516939891
5523,74,221,1.509016393
5517,74,108,1.507377049
5507,74,70,1.504644809
5503,74,70,1.503551913
5502,74,221,1.503278689
5496,74,58,1.501639344
5491,74,357,1.500273224
5489,74,58,1.499726776
5463,74,74,1.492622951
5417,74,74,1.480054645
5394,74,50,1.473770492
5374,74,74,1.468306011
5327,74,351,1.455464481
5324,74,74,1.454644809
5265,74,33,1.43852459
5194,74,7,1.419125683
5193,74,97,1.418852459
5180,74,33,1.415300546
5174,74,23,1.413661202
5128,74,190,1.401092896
5122,74,74,1.399453552
5104,74,120,1.394535519
5087,74,97,1.38989071
5083,74,190,1.388797814
5081,74,120,1.388251366
5071,74,74,1.385519126
5069,74,190,1.384972678
5055,74,190,1.381147541
4929,74,7,1.346721311
4913,74,122,1.342349727
4910,74,23,1.341530055
4870,74,110,1.330601093
4835,74,110,1.321038251
4821,74,181,1.317213115
4806,74,70,1.313114754
4798,74,110,1.310928962
4795,74,181,1.31010929
4794,74,110,1.309836066
4757,74,57,1.299726776
4744,74,159,1.296174863
4702,74,58,1.284699454
4692,74,36,1.281967213
4673,74,33,1.276775956
4665,74,58,1.274590164
4659,74,186,1.27295082
4653,74,36,1.271311475
4639,74,186,1.267486339
4614,74,58,1.260655738
4566,74,354,1.247540984
4556,74,58,1.244808743
4547,74,7,1.242349727
4536,74,73,1.239344262
4534,74,58,1.238797814
4529,74,36,1.237431694
4526,74,36,1.236612022
4526,74,36,1.236612022
4523,74,36,1.23579235
4480,74,52,1.224043716
4467,74,387,1.220491803
4455,74,46,1.217213115
4426,74,387,1.209289617
4399,74,46,1.201912568
4386,74,20,1.198360656
4378,74,23,1.196174863
4374,74,52,1.195081967
4360,74,42,1.191256831
4339,74,20,1.185519126
4329,74,90,1.182786885
4327,74,31,1.182240437
4326,74,160,1.181967213
4319,74,23,1.180054645
