tripduration,starttime,stoptime,start station id,start station name,end station id,end station name,id,name
100558,20:05.3,16:03.5,74,Harvard Square at Mass Ave/ Dunster,22,South Station - 700 Atlantic Ave,74,Harvard Square at Mass Ave/ Dunster
81100,49:59.4,21:39.8,74,Harvard Square at Mass Ave/ Dunster,387,7 Acre Park,22,South Station - 700 Atlantic Ave
65582,22:29.6,35:31.7,74,Harvard Square at Mass Ave/ Dunster,139,Dana Park,387,7 Acre Park
57866,40:38.3,45:04.9,74,Harvard Square at Mass Ave/ Dunster,103,JFK Crossing at Harvard St. / Thorndike St.,139,Dana Park
53491,31:41.8,23:12.9,74,Harvard Square at Mass Ave/ Dunster,227,Silber Way,103,JFK Crossing at Harvard St. / Thorndike St.
41440,35:31.8,06:12.6,74,Harvard Square at Mass Ave/ Dunster,334,Mass Ave at Hadley/Walden,227,Silber Way
24487,54:57.5,43:04.7,74,Harvard Square at Mass Ave/ Dunster,90,Lechmere Station at Cambridge St / First St,334,Mass Ave at Hadley/Walden
21091,40:27.0,31:58.5,74,Harvard Square at Mass Ave/ Dunster,99,Wilson Square,90,Lechmere Station at Cambridge St / First St
20357,17:41.5,56:58.6,74,Harvard Square at Mass Ave/ Dunster,55,Boylston St at Massachusetts Ave,99,Wilson Square
17569,20:07.5,12:57.2,74,Harvard Square at Mass Ave/ Dunster,74,Harvard Square at Mass Ave/ Dunster,55,Boylston St at Massachusetts Ave
13475,28:10.4,12:45.6,74,Harvard Square at Mass Ave/ Dunster,74,Harvard Square at Mass Ave/ Dunster,327,Main St at Thompson Sq
13423,29:15.8,12:59.5,74,Harvard Square at Mass Ave/ Dunster,74,Harvard Square at Mass Ave/ Dunster,380,Mass Ave at Albany St
13143,53:26.0,32:29.1,74,Harvard Square at Mass Ave/ Dunster,327,Main St at Thompson Sq,41,Packard's Corner - Commonwealth Ave at Brighton Ave
12371,16:34.0,42:45.6,74,Harvard Square at Mass Ave/ Dunster,380,Mass Ave at Albany St,15,Brighton Mills - 370 Western Ave
11734,24:28.1,40:02.2,74,Harvard Square at Mass Ave/ Dunster,41,Packard's Corner - Commonwealth Ave at Brighton Ave,105,Lower Cambridgeport at Magazine St / Riverside Rd
11084,11:55.4,16:40.2,74,Harvard Square at Mass Ave/ Dunster,74,Harvard Square at Mass Ave/ Dunster,89,Harvard Law School at Mass Ave / Jarvis St
11040,12:15.5,16:15.7,74,Harvard Square at Mass Ave/ Dunster,74,Harvard Square at Mass Ave/ Dunster,221,Verizon Innovation Hub 10 Ware Street
11008,46:04.6,49:33.1,74,Harvard Square at Mass Ave/ Dunster,74,Harvard Square at Mass Ave/ Dunster,374,Tremont St at Hamilton Pl
10922,02:02.6,04:04.9,74,Harvard Square at Mass Ave/ Dunster,15,Brighton Mills - 370 Western Ave,20,Aquarium T Stop - 200 Atlantic Ave
10872,02:21.0,03:33.4,74,Harvard Square at Mass Ave/ Dunster,15,Brighton Mills - 370 Western Ave,97,Harvard University River Houses at DeWolfe St / Cowperthwaite St
9609,40:38.3,20:48.2,74,Harvard Square at Mass Ave/ Dunster,105,Lower Cambridgeport at Magazine St / Riverside Rd,149,175 N Harvard St
9574,40:57.6,20:31.9,74,Harvard Square at Mass Ave/ Dunster,105,Lower Cambridgeport at Magazine St / Riverside Rd,58,Mugar Way at Beacon St
9430,35:12.8,12:23.4,74,Harvard Square at Mass Ave/ Dunster,89,Harvard Law School at Mass Ave / Jarvis St,73,Harvard Square at Brattle St / Eliot St
9394,33:24.0,09:58.8,74,Harvard Square at Mass Ave/ Dunster,221,Verizon Innovation Hub 10 Ware Street,115,Porter Square Station
