tripduration,start_station_id,start_station_name,end_station_id,end_station_name
42567137,23,Boston City Hall - 28 State St,1,18 Dorrance Warehouse
26532260,342,Boylston St at Jersey St,1,18 Dorrance Warehouse
23562383,210,Bennington St at Byron St,90,Lechmere Station at Cambridge St / First St
19353700,339,Archdale Rd at Washington St,1,18 Dorrance Warehouse
14408343,16,Back Bay T Stop - Dartmouth St at Stuart St,1,18 Dorrance Warehouse
14354874,118,Linear Park - Mass. Ave. at Cameron Ave. ,139,Dana Park
13841768,93,JFK/UMass T Stop,1,18 Dorrance Warehouse
13738357,128,E Cottage St at Columbia Rd,1,18 Dorrance Warehouse
13543420,49,Stuart St at Charles St,271,Ashmont T Stop
10726082,81,Chinatown T Stop,379,Tremont St at W. Dedham St
10341514,42,Boylston St at Arlington St,128,E Cottage St at Columbia Rd
9048088,343,Morton St T,343,Morton St T
8916863,161,W Broadway at D St,36,Copley Square - Dartmouth St at Boylston St
8632679,339,Archdale Rd at Washington St,404,Mass Ave T Station
8427091,390,Broadway at Lynde St,1,18 Dorrance Warehouse
8233925,345,Park Plaza at Charles St S.,388,Main Street at Carter Street
7834904,203,Columbia Rd at Ceylon St,1,18 Dorrance Warehouse
7824715,40,Lewis Wharf at Atlantic Ave,365,Harrison Ave at Bennet St
7241749,24,Seaport Square - Seaport Blvd at Northern Ave,1,18 Dorrance Warehouse
7113671,396,Wasgatt Playground,396,Wasgatt Playground
6816819,255,Park St at Norwell St,1,18 Dorrance Warehouse
6704630,53,Beacon St at Massachusetts Ave,1,18 Dorrance Warehouse
6562154,43,Rowes Wharf at Atlantic Ave,1,18 Dorrance Warehouse
6537641,138,Newmarket Square T Stop - Massachusetts Ave at Newmarket Square,1,18 Dorrance Warehouse
6393534,390,Broadway at Lynde St,393,Swan St. Park
6393531,50,Boylston St at Berkeley St,96,Cambridge Main Library at Broadway / Trowbridge St
5877476,6,Cambridge St at Joy St,1,18 Dorrance Warehouse
5237629,16,Back Bay T Stop - Dartmouth St at Stuart St,190,Nashua Street at Red Auerbach Way
5172427,42,Boylston St at Arlington St,1,18 Dorrance Warehouse
4734787,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,1,18 Dorrance Warehouse
4497031,343,Morton St T,348,Talbot Ave At Blue Hill Ave
4279284,12,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,48,Post Office Square
4185401,138,Newmarket Square T Stop - Massachusetts Ave at Newmarket Square,1,18 Dorrance Warehouse
4062109,350,Codman Square Library,1,18 Dorrance Warehouse
3954574,118,Linear Park - Mass. Ave. at Cameron Ave. ,112,Clarendon Hill at Broadway
3950203,260,Fields Corner T Stop,1,18 Dorrance Warehouse
3942248,190,Nashua Street at Red Auerbach Way,133,Green Street T Stop - Green St at Amory St
3839139,54,Tremont St at West St,1,18 Dorrance Warehouse
3602115,36,Copley Square - Dartmouth St at Boylston St,181,Huron Ave At Vassal Lane
3548660,93,JFK/UMass T Stop,1,18 Dorrance Warehouse
3297649,49,Stuart St at Charles St,348,Talbot Ave At Blue Hill Ave
3241255,24,Seaport Square - Seaport Blvd at Northern Ave,81,Chinatown T Stop
2969291,121,W Broadway at Dorchester St,404,Mass Ave T Station
2939355,182,Museum of Science,167,Ryan Playground - Dorchester Ave at Harbor View St
2832771,255,Park St at Norwell St,74,Harvard Square at Mass Ave/ Dunster
2824455,359,One Brigham Circle,1,18 Dorrance Warehouse
2691593,176,Lesley University,271,Ashmont T Stop
2675058,233,St Mary's,1,18 Dorrance Warehouse
2653852,36,Copley Square - Dartmouth St at Boylston St,1,18 Dorrance Warehouse
2583147,68,Central Square at Mass Ave / Essex St,1,18 Dorrance Warehouse
